Altium Designer Pick and Place Locations
C:\Users\carli\_work_\pcb\X4M02\Project_Outputs\PCBA_Doc_280031-010\Pick_Place-280031-010.txt

========================================================================================================================
File Design Information:

Date:       13.06.17
Time:       13:44
Revision:   2450
Variant:    Populated_components
Units used: mil

Designator Footprint             Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation Comment                Description                                                             
U303       200365                -364.179      -295.274      -364.179   -295.274   -388.786   -262.794   TopLayer    270      DSC6003JI2A-012.0000   "DSC6003JI2A-012.0000, 12MHZ CMOS MEMS OSCILLATOR 2.5X2MM"              
C326       0402-CAPACITOR-NONPOL -324.809      -226.376      -324.809   -226.376   -344.494   -226.376   TopLayer    360      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C340       0402-CAPACITOR-NONPOL 358.261       -467.518      358.262    -467.518   338.576    -467.518   BottomLayer 360      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
S1         200289-003            0.003         0.005         0.003      0.005      -281.493   153.548    TopLayer    180      "Shield box"           "Shieldbox 16 x 8 x 3mm"                                                
U302       200282                295.278       -521.669      295.278    -521.669   421.263    -395.685   TopLayer    270      W9864G6JT-6I           "IC, SYNCHRONOUS DRAM (SDRAM), 64MBIT, 6NS, 166MHZ, 4M x 16BIT, 54FBGA" 
C330       0402-CAPACITOR-NONPOL 413.380       -324.802      413.380    -324.802   393.695    -324.802   TopLayer    0        100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C329       0402-CAPACITOR-NONPOL 341.529       -324.802      341.529    -324.802   321.844    -324.802   TopLayer    0        100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C328       0402-CAPACITOR-NONPOL 408.468       -708.657      408.468    -708.657   388.783    -708.657   TopLayer    360      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C302       0402-CAPACITOR-NONPOL 332.680       -708.657      332.680    -708.657   352.365    -708.657   TopLayer    180      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C301       0402-CAPACITOR-NONPOL 182.090       -708.657      182.090    -708.657   201.775    -708.657   TopLayer    180      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C300       0402-CAPACITOR-NONPOL 276.578       -511.827      276.578    -511.827   296.263    -511.827   BottomLayer 180      2u2                    "CAPACITOR, 2u2, 0402, 20%, 6V3, X5R"                                   
C313       0402-CAPACITOR-NONPOL -403.557      -523.614      -403.557   -523.613   -403.557   -543.298   TopLayer    90       1u                     "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C312       0402-CAPACITOR-NONPOL -372.061      -523.614      -372.061   -523.613   -372.061   -543.298   TopLayer    90       100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C1         0402-CAPACITOR-NONPOL -340.558      490.159       -340.557   490.159    -360.243   490.159    BottomLayer 360      10n                    "CAPACITOR, 10n, 0402, 20%, 25V, X7R"                                   
C100       0603-CAPACITOR-NONPOL 137.795       466.500       137.795    466.500    167.323    466.500    TopLayer    180      10u                    "CAPACITOR, 10u, 0603, 20%, 6V3, X5R"                                   
C101       0402-CAPACITOR-NONPOL 57.090        344.473       57.089     344.473    76.775     344.473    TopLayer    180      22p                    "CAPACITOR, 22p, 0402, 5%, 25V, NP0"                                    
C102       0603-CAPACITOR-NONPOL -35.433       399.571       -35.433    399.571    -64.961    399.571    TopLayer    360      22u                    "CAPACITOR, 22u, 0603, 20%, 6V3, X5R"                                   
C103       0402-CAPACITOR-NONPOL 265.748       535.397       265.748    535.397    265.748    555.082    TopLayer    270      1u                     "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C200       0603-CAPACITOR-NONPOL 0.003         236.225       0.003      236.225    29.531     236.225    TopLayer    180      4u7                    "CAPACITOR, 4u7, 0603, 10%, 10V, X5R"                                   
C201       0402-CAPACITOR-NONPOL -39.367       120.084       -39.367    120.084    -19.682    120.084    TopLayer    180      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C202       0402-CAPACITOR-NONPOL 39.373        120.084       39.373     120.084    19.688     120.084    TopLayer    0        10n                    "CAPACITOR, 10n, 0402, 10%, 25V, X7R"                                   
C203       0402-CAPACITOR-NONPOL -39.367       72.839        -39.367    72.839     -19.682    72.839     TopLayer    180      1n                     "CAPACITOR, 1n, 0402, 10%, 25V, X7R"                                    
C204       0402-CAPACITOR-NONPOL 39.373        72.839        39.373     72.839     19.688     72.839     TopLayer    0        100p                   "CAPACITOR, 100p, 0402, 5%, 50V, NP0"                                   
C212       0402-CAPACITOR-NONPOL 307.090       -236.216      307.090    -236.216   307.090    -216.531   TopLayer    270      12p                    "CAPACITOR, 12p, 0402, 5%, 50V, NP0"                                    
C213       0402-CAPACITOR-NONPOL 102.365       -232.279      102.365    -232.279   102.365    -251.964   TopLayer    90       12p                    "CAPACITOR, 12p, 0402, 5%, 50V, NP0"                                    
C303       0402-CAPACITOR-NONPOL -372.037      -671.235      -372.037   -671.235   -372.037   -651.550   TopLayer    270      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
