Altium Designer Pick and Place Locations
C:\Users\carli\_work_\pcb\XTMCU02\Project_Outputs\PCBA_Doc_280027-004\Pick_Place-280027-004.txt

========================================================================================================================
File Design Information:

Date:       21.03.18
Time:       15:11
Revision:   2774
Variant:    Populated_Components
Units used: mil

Designator Footprint             Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation Comment                  Description                                                             
U202       200365                322.835       699.803       322.835    699.803    290.354    675.197    TopLayer    360      DSC6003JI2A-012.0000     "DSC6003JI2A-012.0000, 12MHZ CMOS MEMS OSCILLATOR 2.5X2MM"              
R204       0402-RESISTOR         39.370        163.386       39.370     163.386    39.370     183.071    TopLayer    270      100k                     "RESISTOR, 100k, 0402, 1%, 63mW"                                        
Y200       200042                374.016       295.276       374.016    295.276    374.016    344.488    TopLayer    270      ABS07-32.768KHZ-T        "CRYSTAL, 32.768KHZ, 12.5PF, SMD"                                       
U201       200282                118.110       393.701       118.110    393.701    244.095    519.685    TopLayer    270      W9864G6JT-6I             "IC, SYNCHRONOUS DRAM (SDRAM), 64MBIT, 6NS, 166MHZ, 4M x 16BIT, 54FBGA" 
U200       200353                649.606       472.441       649.606    472.441    476.378    645.669    TopLayer    360      ATSAMS70Q21A-CN          "ATSAMS70Q21A-CN, MCU, LFBGA144, 2048k Flash, 384k SRAM"                
U100       200038                442.913       1023.622      442.913    1023.622   423.228    967.520    TopLayer    360      LTC3621EDCB-2            "LTC3621EDCB-2, BUCK, 2.7-17V, 2.2MHZ, 1A, 0.6-17V, 6DFN"               
U1         200051                669.291       925.197       669.291    925.197    639.764    883.858    TopLayer    90       PRTR5V0U2X               "DIODE PROTECTION, TVS, DUAL"                                           
R201       0402-RESISTOR         392.716       735.236       392.716    735.236    392.716    754.921    TopLayer    270      5k6                      "RESISTOR, 5k6, 0402, 1%, 63mW"                                         
R200       0402-RESISTOR         816.929       88.583        816.929    88.583     797.244    88.583     TopLayer    360      100k                     "RESISTOR, 100k, 0402, 1%, 63mW"                                        
R103       0402-RESISTOR         701.772       774.606       701.772    774.606    701.772    754.921    TopLayer    90       100k                     "RESISTOR, 100k, 0402, 1%, 63mW"                                        
R102       0402-RESISTOR         511.811       1092.520      511.811    1092.520   511.811    1112.205   TopLayer    270      100k                     "RESISTOR, 100k, 0402, 1%, 63mW"                                        
R101       0402-RESISTOR         361.221       925.197       361.221    925.197    380.906    925.197    TopLayer    180      1M                       "RESISTOR, 1M, 0402, 5%, 63mW"                                          
R100       0402-RESISTOR         361.221       963.583       361.221    963.583    380.906    963.583    TopLayer    180      680k                     "RESISTOR, 680k, 0402, 1%, 63mW"                                        
R5         0402-RESISTOR         807.087       226.378       807.087    226.378    826.772    226.378    TopLayer    180      120R                     "RESISTOR, 120R, 0402, 1%, 63mW"                                        
R4         0402-RESISTOR         807.087       177.165       807.087    177.165    826.772    177.165    TopLayer    180      200R                     "RESISTOR, 200R, 0402, 1%, 63mW"                                        
R3         0402-RESISTOR         807.087       127.953       807.087    127.953    826.772    127.953    TopLayer    180      620R                     "RESISTOR, 620R, 0402, 1%, 63mW"                                        
